"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,3,"Sants-Montjuïc",16,"la Bordeta","Nou. Milers d'euros",219.7
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Nou. Milers d'euros",119.9
2015,3,"Sants-Montjuïc",18,"Sants","Nou. Milers d'euros",NA
2015,4,"Les Corts",19,"les Corts","Nou. Milers d'euros",466.3
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nou. Milers d'euros",325.8
2015,4,"Les Corts",21,"Pedralbes","Nou. Milers d'euros",1421
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nou. Milers d'euros",NA
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nou. Milers d'euros",419.6
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nou. Milers d'euros",832.9
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nou. Milers d'euros",483.6
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nou. Milers d'euros",493.3
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nou. Milers d'euros",276.7
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Nou. Milers d'euros",240.8
2015,6,"Gràcia",29,"el Coll","Nou. Milers d'euros",154.7
2015,6,"Gràcia",30,"la Salut","Nou. Milers d'euros",NA
2015,6,"Gràcia",31,"la Vila de Gràcia","Nou. Milers d'euros",511
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nou. Milers d'euros",392
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Nou. Milers d'euros",302.9
2015,7,"Horta-Guinardó",34,"Can Baró","Nou. Milers d'euros",NA
2015,7,"Horta-Guinardó",35,"el Guinardó","Nou. Milers d'euros",343.3
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nou. Milers d'euros",182.9
2015,7,"Horta-Guinardó",37,"el Carmel","Nou. Milers d'euros",106.2
2015,7,"Horta-Guinardó",38,"la Teixonera","Nou. Milers d'euros",79.4
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nou. Milers d'euros",277
2015,7,"Horta-Guinardó",40,"Montbau","Nou. Milers d'euros",107.5
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nou. Milers d'euros",155
2015,7,"Horta-Guinardó",42,"la Clota","Nou. Milers d'euros",NA
2015,7,"Horta-Guinardó",43,"Horta","Nou. Milers d'euros",133.1
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nou. Milers d'euros",NA
2015,8,"Nou Barris",45,"Porta","Nou. Milers d'euros",NA
2015,8,"Nou Barris",46,"el Turó de la Peira","Nou. Milers d'euros",NA
2015,8,"Nou Barris",47,"Can Peguera","Nou. Milers d'euros",NA
2015,8,"Nou Barris",48,"la Guineueta","Nou. Milers d'euros",NA
2015,8,"Nou Barris",49,"Canyelles","Nou. Milers d'euros",NA
2015,8,"Nou Barris",50,"les Roquetes","Nou. Milers d'euros",NA
2015,8,"Nou Barris",51,"Verdun","Nou. Milers d'euros",NA
2015,8,"Nou Barris",52,"la Prosperitat","Nou. Milers d'euros",NA
2015,8,"Nou Barris",53,"la Trinitat Nova","Nou. Milers d'euros",NA
2015,8,"Nou Barris",54,"Torre Baró","Nou. Milers d'euros",NA
2015,8,"Nou Barris",55,"Ciutat Meridiana","Nou. Milers d'euros",NA
2015,8,"Nou Barris",56,"Vallbona","Nou. Milers d'euros",NA
2015,9,"Sant Andreu",57,"la Trinitat Vella","Nou. Milers d'euros",NA
2015,9,"Sant Andreu",58,"Baró de Viver","Nou. Milers d'euros",NA
2015,9,"Sant Andreu",59,"el Bon Pastor","Nou. Milers d'euros",NA
2015,9,"Sant Andreu",60,"Sant Andreu","Nou. Milers d'euros",NA
2015,9,"Sant Andreu",61,"la Sagrera","Nou. Milers d'euros",NA
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Nou. Milers d'euros",87.2
2015,9,"Sant Andreu",63,"Navas","Nou. Milers d'euros",100
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nou. Milers d'euros",NA
2015,10,"Sant Martí",65,"el Clot","Nou. Milers d'euros",208.3
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nou. Milers d'euros",NA
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nou. Milers d'euros",NA
2015,10,"Sant Martí",68,"el Poblenou","Nou. Milers d'euros",261.6
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nou. Milers d'euros",NA
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Nou. Milers d'euros",258.9
2015,10,"Sant Martí",71,"Provençals del Poblenou","Nou. Milers d'euros",141.6
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Nou. Milers d'euros",433.6
2015,10,"Sant Martí",73,"la Verneda i la Pau","Nou. Milers d'euros",227.6
2015,1,"Ciutat Vella",1,"el Raval","Usat. Milers d'euros",193.8
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Usat. Milers d'euros",393.8
2015,1,"Ciutat Vella",3,"la Barceloneta","Usat. Milers d'euros",150.8
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Usat. Milers d'euros",239.6
2015,2,"Eixample",5,"el Fort Pienc","Usat. Milers d'euros",327
2015,2,"Eixample",6,"la Sagrada Família","Usat. Milers d'euros",211.7
2015,2,"Eixample",7,"la Dreta de l'Eixample","Usat. Milers d'euros",415.4
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Usat. Milers d'euros",337.2
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Usat. Milers d'euros",225.8
2015,2,"Eixample",10,"Sant Antoni","Usat. Milers d'euros",236.8
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Usat. Milers d'euros",143
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Usat. Milers d'euros",NA
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Usat. Milers d'euros",139.2
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Usat. Milers d'euros",174.5
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Usat. Milers d'euros",172.8
2015,3,"Sants-Montjuïc",16,"la Bordeta","Usat. Milers d'euros",120
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Usat. Milers d'euros",112.2
2015,3,"Sants-Montjuïc",18,"Sants","Usat. Milers d'euros",170.6
2015,4,"Les Corts",19,"les Corts","Usat. Milers d'euros",261
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Usat. Milers d'euros",296.7
2015,4,"Les Corts",21,"Pedralbes","Usat. Milers d'euros",750
